epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1
1,0.16105031667809402,0.08570707166966583,0.9499440715883669,0.9697986577181208,0.7690447429166019
2,0.0755670603941239,0.06745079321055007,0.9725018642803878,0.9779082774049217,0.8621290775663027
3,0.05703673540570196,0.0616822446713091,0.9793064876957495,0.9812639821029083,0.8823184433687716
4,0.04423744513353865,0.0597354740020819,0.9838739746457867,0.9801454138702461,0.879178553498476
5,0.037930213617593314,0.05772050842642784,0.9867636092468307,0.9815436241610739,0.8907422358178223
6,0.030501064935898676,0.06627499217782835,0.9893736017897091,0.9812639821029083,0.8926450919111468
7,0.027576961038686846,0.06642631150940101,0.990958240119314,0.9807046979865772,0.8854301176372259
8,0.023515231555349948,0.07349648881063331,0.9922632363907532,0.9807046979865772,0.8874728594354763
9,0.015124307107596126,0.07244470661576738,0.9950596569724086,0.9807046979865772,0.8907124833517956
10,0.014704957736977945,0.07944780101076633,0.9955257270693513,0.9818232662192393,0.8946216894168786
11,0.014128213918714513,0.07951241154348411,0.9958985831469053,0.979586129753915,0.8837081977773193
12,0.012459023392607162,0.0880604082859853,0.9959917971662938,0.9823825503355704,0.892120756487824
13,0.013330898685299394,0.08439918245182655,0.9954325130499627,0.9823825503355704,0.8966439375206161
14,0.010830101467945497,0.08571567690913591,0.9963646532438478,0.9821029082774049,0.89593590571374
15,0.010160975327034109,0.09314951831038343,0.9964578672632364,0.9829418344519015,0.9022589642773129
16,0.008502742098309162,0.09116326636116615,0.9968307233407905,0.9829418344519015,0.9016862908586946
17,0.010385993278889925,0.09265939302018264,0.9966442953020134,0.9829418344519015,0.9011065085296861
18,0.00870558033504191,0.10835243370063706,0.997296793437733,0.9818232662192393,0.8914139774372409
19,0.009872816628211737,0.09607819848250594,0.9967375093214019,0.9832214765100671,0.9018588992974239
20,0.008830881604959965,0.0880058586434903,0.997110365398956,0.9832214765100671,0.9006747598343838
21,0.005600348638782158,0.09331543004464038,0.9986017897091722,0.9832214765100671,0.9018588992974239
22,0.003953911781060188,0.10185962596649135,0.9986017897091722,0.9832214765100671,0.9024399116066313
23,0.0046071992468395846,0.09720616211799486,0.9983221476510067,0.9837807606263982,0.905691914553077
24,0.003934260318655582,0.10658644303759145,0.9993475018642803,0.9840604026845637,0.9059249225202439
25,0.0025619836826914857,0.1110151615231538,0.9989746457867263,0.982662192393736,0.89736391849553
26,0.003467404786506666,0.11432976997504543,0.9990678598061148,0.9832214765100671,0.9006747598343838
27,0.002703719770561888,0.11280982136223575,0.9991610738255033,0.9843400447427293,0.9072964425120916
28,0.001922114694697338,0.11785591664183974,0.9990678598061148,0.9835011185682326,0.9026240426086736
29,0.0017319978272537031,0.11889212048191057,0.9996271439224459,0.9837807606263982,0.9051302693208431
30,0.002932034070318374,0.1207057307404215,0.9994407158836689,0.9837807606263982,0.9051302693208431
31,0.0013987135691072201,0.12196137662122501,0.9995339299030574,0.9840604026845637,0.9059249225202439
32,0.002073719335853869,0.12353366346299513,0.9996271439224459,0.9840604026845637,0.9064873720424622
33,0.0014451988843127257,0.12457548601629144,0.9997203579418344,0.9840604026845637,0.9064873720424622
34,0.0008855972130703549,0.1301696205132044,0.999813571961223,0.9837807606263982,0.9039856011732378
35,0.0011225816850595734,0.13499180090107643,0.999813571961223,0.9840604026845637,0.9059249225202439
36,0.0014612292419887549,0.13441829963636565,0.9995339299030574,0.9840604026845637,0.9059249225202439
37,0.0010122058051726733,0.13295219054740975,0.999813571961223,0.9837807606263982,0.9045615430063887
