model,accuracy,precision,recall,f1,macro_f1
mlp_ce_lr0001,0.988255033557047,0.9517241379310344,0.7976878612716763,0.8679245283018868,0.9308893932115228
logreg_full,0.967841163310962,0.6115384615384616,0.9190751445086706,0.7344110854503464,0.8586477216208421
rf_structured,0.935682326621924,0.4095238095238095,0.7456647398843931,0.5286885245901639,0.7470873595339775
nb_full,0.9650447427293064,0.8076923076923077,0.3641618497109826,0.50199203187251,0.7419393574809586
random_guess,0.9079312080536912,0.04881292547338575,0.04884971098265895,0.04876268458869512,0.5001918368851583
majority_vote,0.9516219239373602,0.0,0.0,0.0,0.4876056741653532
