model,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1
logreg_full,0.967841163310962,0.6115384615384616,0.9190751445086706,0.7344110854503464,0.8586477216208421
nb_full,0.9650447427293064,0.8076923076923077,0.3641618497109826,0.50199203187251,0.7419393574809586
rf_structured,0.935682326621924,0.4095238095238095,0.7456647398843931,0.5286885245901639,0.7470873595339775
mlp_ce_lr0001,0.988255033557047,0.9517241379310344,0.7976878612716763,0.8679245283018868,0.9308893932115228
