group,count,avg_text_char_len,avg_text_word_len,avg_missing_text_fields,avg_missing_cat_fields,title_missing_rate,company_profile_missing_rate,description_missing_rate,requirements_missing_rate,benefits_missing_rate
Correct,3534,2675.0444255800794,378.41595925297116,0.7354272778720996,1.7014714204867005,0.0,0.17798528579513298,0.0,0.15619694397283532,0.4012450481041313
False Positive,7,1620.0,225.71428571428572,1.4285714285714286,2.857142857142857,0.0,0.7142857142857143,0.0,0.14285714285714285,0.5714285714285714
False Negative,35,2278.9142857142856,303.48571428571427,1.2285714285714286,1.6857142857142857,0.0,0.6,0.0,0.11428571428571428,0.5142857142857142
