model,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1
logreg_full,0.9661633109619687,0.6,0.9017341040462428,0.7205542725173211,0.8512728201401906,0.9678411633109619,0.6115384615384616,0.9190751445086706,0.7344110854503464,0.8586477216208421
nb_full,0.9636465324384788,0.7792207792207793,0.3468208092485549,0.48,0.7305824398725007,0.9650447427293065,0.8076923076923077,0.36416184971098264,0.50199203187251,0.7419393574809586
rf_structured,0.935682326621924,0.40468227424749165,0.6994219653179191,0.5127118644067796,0.7391403633411143,0.935682326621924,0.4095238095238095,0.7456647398843931,0.5286885245901639,0.7470873595339775
