epoch,train_loss,val_loss,val_macro_f1,val_recall,val_accuracy
1,0.8375301989061492,0.4415955061891249,0.7448136898606648,0.9017341040462428,0.9230984340044742
2,0.40123264872956843,0.38442162091710735,0.7459005435062946,0.8901734104046243,0.924496644295302
3,0.3111607280692884,0.34940609369160874,0.7791580615296967,0.930635838150289,0.9379194630872483
4,0.22146454034373164,0.39672102885586874,0.7843184559710494,0.9017341040462428,0.941834451901566
5,0.1992999296302774,0.4172742335857557,0.797669887627182,0.8786127167630058,0.9485458612975392
6,0.14390079295706182,0.47602611111610066,0.8313326028747132,0.8670520231213873,0.9611297539149888
7,0.15467699448622407,0.4771025942172855,0.8341536167039523,0.8901734104046243,0.9611297539149888
8,0.13568117487011477,0.5438408132675769,0.8257366359341001,0.8497109826589595,0.9600111856823266
9,0.11763915959385313,0.5719632914822016,0.8214764718397515,0.8554913294797688,0.9583333333333334
10,0.1040528669781495,0.5636550991829219,0.8429577071403653,0.861271676300578,0.9650447427293065
11,0.09009702007668759,0.7189200955659284,0.8606692286246794,0.8323699421965318,0.9711968680089486
12,0.08703328122750723,0.6707223832823469,0.8503527543452718,0.861271676300578,0.9672818791946308
13,0.08187694533262402,0.8080265841480079,0.8641941135591729,0.8092485549132948,0.9728747203579419
14,0.08876248876982745,0.7888267333785605,0.8671125975473801,0.8439306358381503,0.9725950782997763
15,0.09417224274061266,0.7046087329841352,0.8576716417910448,0.8497109826589595,0.9697986577181208
16,0.06363229257459309,0.7854725029288342,0.8680637544273908,0.815028901734104,0.9737136465324385
17,0.05347479100115985,0.9474263175891663,0.8924777721077273,0.7976878612716763,0.9801454138702461
18,0.04962940241377856,0.9232073558773014,0.8779323680421831,0.815028901734104,0.9762304250559284
19,0.04157416905703334,1.0064206023946878,0.8924331550802138,0.8092485549132948,0.9798657718120806
20,0.05092508418861793,0.9851544978654212,0.8771495877502945,0.7976878612716763,0.9765100671140939
21,0.0595968491210702,0.9804344507948761,0.8840255457835684,0.7861271676300579,0.9784675615212528
22,0.031611004086395646,1.084778414245063,0.8969441649899397,0.7803468208092486,0.9815436241610739
23,0.039898366308816116,0.9953911578860632,0.900322325609682,0.815028901734104,0.9815436241610739
24,0.045072188737321994,0.9434811896769263,0.8918130824079389,0.815028901734104,0.979586129753915
25,0.027400603949423556,0.9999722832809701,0.9031518966086914,0.8323699421965318,0.9818232662192393
26,0.03501533667786459,0.9817291925075031,0.8894311589191124,0.8265895953757225,0.9787472035794184
27,0.02852743428775284,1.0803015818109998,0.9015641575634121,0.815028901734104,0.9818232662192393
28,0.02258749646855341,1.2278524358025606,0.8950088079859072,0.7861271676300579,0.9809843400447428
29,0.016734151418426164,1.1490184611068668,0.8967385119216469,0.8034682080924855,0.9809843400447428
30,0.034182194512942216,1.0963656892896065,0.9091585071759457,0.815028901734104,0.9835011185682326
