epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1
1,0.1290452121756971,0.09239646699279547,0.9557233407904548,0.9739932885906041,0.8323248833950874
2,0.09661426898258339,0.08204617539221155,0.9700782997762863,0.9728747203579419,0.8113077607239316
3,0.08505603704196844,0.09151838231939889,0.9741797166293811,0.977069351230425,0.8555063231259263
4,0.0795282774349852,0.0759661747392134,0.9745525727069351,0.9767897091722595,0.8578733775950698
5,0.06410100541654087,0.08502714981191925,0.9793064876957495,0.9765100671140939,0.8650126995482808
6,0.06606325803745892,0.07868650033404785,0.9781879194630873,0.977069351230425,0.8600241732684893
7,0.07615812515792814,0.1359626042623339,0.9788404175988069,0.9706375838926175,0.8443886801758025
8,0.07602771861378901,0.10715262938174419,0.9792132736763609,0.977069351230425,0.8476051887576916
9,0.056550762268930806,0.08141899195366673,0.9789336316181954,0.9784675615212528,0.8544016286171295
10,0.044103458574335536,0.06631711155309208,0.982662192393736,0.9798657718120806,0.8714645153560447
11,0.034449890752717864,0.07749263363491211,0.985365398956003,0.979586129753915,0.8734098521398288
12,0.030003028836377087,0.07858867738208833,0.9862975391498882,0.9807046979865772,0.878019492637735
13,0.02349978570715296,0.0887725207976473,0.9890007457121551,0.9821029082774049,0.8907505742583333
14,0.024315562010142025,0.08563617073091986,0.9900260999254288,0.9807046979865772,0.8811013821487272
15,0.02244076926293212,0.10177127244989086,0.9900260999254288,0.982662192393736,0.892825445932228
16,0.02097675596845742,0.09791431942812778,0.9921700223713646,0.9821029082774049,0.8953161592505856
17,0.019020936872151208,0.13965045557839467,0.9919835943325876,0.9832214765100671,0.9006747598343838
18,0.01704082129539019,0.11935775959990938,0.9941275167785235,0.9832214765100671,0.9024399116066313
19,0.0237309463127727,0.12371990201540939,0.9932885906040269,0.9821029082774049,0.8940530771566761
20,0.02228548217159901,0.08529723110197145,0.9932885906040269,0.9821029082774049,0.8940530771566761
21,0.01948467432288902,0.12706493423781598,0.9937546607009694,0.982662192393736,0.89736391849553
22,0.019495896694012332,0.14400753062934005,0.9931953765846383,0.9843400447427293,0.9072964425120916
23,0.014991494274827447,0.143229270661355,0.9943139448173005,0.9818232662192393,0.8914139774372409
24,0.01763431301937806,0.1337628399382262,0.9941275167785235,0.9812639821029083,0.8873860133082592
25,0.013399062611426956,0.14201192718828842,0.9944071588366891,0.9829418344519015,0.8987135822589969
26,0.013392080498313207,0.1613633650823171,0.9954325130499627,0.9821029082774049,0.892757534862798
27,0.016733754646227488,0.10994034071645079,0.9959917971662938,0.9837807606263982,0.9039856011732378
28,0.00804496869961587,0.14842199809034387,0.997110365398956,0.9835011185682326,0.9014373025968802
29,0.009327305583074475,0.1432006075161293,0.997110365398956,0.9835011185682326,0.9002197696178789
30,0.008565640833168348,0.13318891480442727,0.9977628635346756,0.9837807606263982,0.9022130861566604
31,0.008355499590934354,0.14430083511422861,0.9972035794183445,0.9837807606263982,0.9028115159694107
32,0.0074729523759118135,0.15858460477730166,0.9981357196122297,0.9843400447427293,0.9061628430049482
