model,val_accuracy,val_precision,val_recall,val_f1,val_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1
logreg_full,0.9630872483221476,0.5823293172690763,0.838150289017341,0.6872037914691943,0.8337950606677325,0.9628076062639821,0.5806451612903226,0.8323699421965318,0.6840855106888362,0.8321630940756617
nb_full,0.9636465324384788,0.7792207792207793,0.3468208092485549,0.48,0.7305824398725007,0.9650447427293065,0.8076923076923077,0.36416184971098264,0.50199203187251,0.7419393574809586
rf_structured,0.935682326621924,0.40468227424749165,0.6994219653179191,0.5127118644067796,0.7391403633411143,0.935682326621924,0.4095238095238095,0.7456647398843931,0.5286885245901639,0.7470873595339775
